name,projection,position,fppg,salary,team,opponent,injury
Devonta Freeman,28.71030039,RB,20.3,8700,ATL,CAR,
Tom Brady,25.46972854,QB,24.8,9300,NE,HOU,
Cam Newton,25.45581094,QB,24.0,9200,CAR,ATL,
Antonio Brown,24.17393646,WR,19.2,9300,PIT,CIN,
Jameis Winston,23.0418321,QB,18.0,7800,TB,NO,
Matt Cassel,22.56026997,QB,9.6,6200,DAL,GB,
Doug Martin,21.91430855,RB,14.0,8000,TB,NO,
Todd Gurley,21.43769511,RB,14.0,7900,STL,DET,
Tyrod Taylor,21.03810086,QB,20.0,7500,BUF,PHI,
Ben Roethlisberger,20.95711385,QB,20.3,8300,PIT,CIN,
Kirk Cousins,20.71319502,QB,16.1,7000,WAS,CHI,
Russell Wilson,20.69392219,QB,20.3,8500,SEA,BAL,
Austin Seferian-Jenkins,20.64097739,TE,11.3,5500,TB,NO,
Brandon Marshall,20.50167186,WR,17.0,8200,NYJ,TEN,
Marcus Mariota,20.35433278,QB,19.4,7500,TEN,NYJ,
Ryan Tannehill,20.31567389,QB,16.5,6900,MIA,NYG,
Ryan Fitzpatrick,20.30219176,QB,18.5,7800,NYJ,TEN,
Drew Brees,19.81169685,QB,20.3,7900,NO,TB,
Matt Ryan,19.01520014,QB,16.2,7100,ATL,CAR,
DeMarco Murray,18.73910913,RB,12.2,6700,PHI,BUF,
Andy Dalton,18.72971626,QB,20.8,8200,CIN,PIT,
Danny Woodhead,18.20665342,RB,11.9,5400,SD,KC,
Sammy Watkins,18.0056415,WR,12.9,7200,BUF,PHI,
Brian Hoyer,17.96506164,QB,17.4,7000,HOU,NE,
Philip Rivers,17.86366255,QB,19.1,7600,SD,KC,
Brandon McManus,17.50341894,K,8.8,5000,DEN,OAK,
Julio Jones,17.48396849,WR,18.7,8800,ATL,CAR,
Eric Decker,17.41810071,WR,14.1,7300,NYJ,TEN,
Blaine Gabbert,17.38836118,QB,18.9,6400,SF,CLE,
Blake Bortles,17.31179037,QB,20.5,7700,JAC,IND,
Alex Smith,17.24002073,QB,17.6,6800,KC,SD,
Jay Cutler,17.05565033,QB,15.8,6700,CHI,WAS,
Brandin Cooks,16.7704973,WR,13.1,7100,NO,TB,
Mark Ingram,16.09134454,RB,14.9,7300,NO,TB,
Michael Crabtree,15.98014341,WR,12.6,6700,OAK,DEN,
Eli Manning,15.60210706,QB,18.4,7500,NYG,MIA,
Travis Kelce,15.47480034,TE,10.4,6000,KC,SD,
DeAndre Hopkins,14.58068958,WR,18.5,8700,HOU,NE,
Jeremy Langford,14.37853853,RB,9.4,5400,CHI,WAS,
Jaelen Strong,14.16471917,WR,3.2,4600,HOU,NE,
Mike Evans,14.06455751,WR,11.6,8000,TB,NO,
Jarvis Landry,13.90735045,WR,14.2,7100,MIA,NYG,
T.Y. Hilton,13.8466413,WR,11.9,7000,IND,JAC,
Derek Carr,13.75996606,QB,18.5,7200,OAK,DEN,
Alshon Jeffery,13.7278008,WR,14.9,7500,CHI,WAS,
Seth Roberts,13.72031679,WR,6.4,5400,OAK,DEN,
Christopher Ivory,13.59149226,RB,14.3,7100,NYJ,TEN,
Matt Forte,13.53953011,RB,14.9,7800,CHI,WAS,
LeSean McCoy,13.43638925,RB,14.6,7900,BUF,PHI,
Amari Cooper,13.41130202,WR,12.1,6900,OAK,DEN,
Allen Robinson,13.38778358,WR,17.2,8500,JAC,IND,
Delanie Walker,13.32305662,TE,12.7,6100,TEN,NYJ,
Giovani Bernard,13.30355361,RB,10.8,5700,CIN,PIT,
Doug Baldwin,13.21845454,WR,12.8,6800,SEA,BAL,
Spencer Ware,12.95405333,RB,8.5,5800,KC,SD,
Martavis Bryant,12.88497332,WR,17.3,7400,PIT,CIN,
Stephen Gostkowski,12.77069412,K,10.8,5000,NE,HOU,
Emmanuel Sanders,12.7288658,WR,11.7,7100,DEN,OAK,
Steven Hauschka,12.61158602,K,8.9,5100,SEA,BAL,
T.J. Yeldon,12.33972236,RB,11.9,6400,JAC,IND,
A.J. Green,12.21030637,WR,14.9,8500,CIN,PIT,
Tavon Austin,12.19131762,WR,11.0,5800,STL,DET,
Lamar Miller,12.09027316,RB,13.5,6600,MIA,NYG,
Travis Benjamin,12.05078337,WR,11.8,5700,CLE,SF,P
Brock Osweiler,12.00745467,QB,13.2,6900,DEN,OAK,
Latavius Murray,11.76557128,RB,12.1,6200,OAK,DEN,
Jordan Matthews,11.75497011,WR,9.9,6100,PHI,BUF,
Demaryius Thomas,11.57533522,WR,12.7,7700,DEN,OAK,
Julius Thomas,11.25295301,TE,8.7,5900,JAC,IND,
Dez Bryant,11.05335365,WR,8.5,7400,DAL,GB,
Shane Vereen,11.03637631,RB,8.0,5100,NYG,MIA,
Nick Foles,11.03541112,QB,9.5,5900,STL,DET,
Sebastian Janikowski,10.92720521,K,7.6,4500,OAK,DEN,
Josh Brown,10.92400985,K,9.8,4800,NYG,MIA,
Rashad Jennings,10.89555597,RB,7.1,4800,NYG,MIA,
Anquan Boldin,10.80270952,WR,9.6,5900,SF,CLE,
David Johnson,10.74703238,TE,0.0,4500,SD,KC,
David Johnson,3.2737897,TE,0.0,4500,SD,KC,
Jordan Reed,10.73026035,TE,11.8,5900,WAS,CHI,
Donte Moncrief,10.6287919,WR,9.9,6100,IND,JAC,
Odell Beckham Jr.,10.62321281,WR,17.9,9300,NYG,MIA,
DEN Defense,10.5774524,D,12.8,5400,DEN,OAK,
Austin Davis,10.30738648,QB,7.2,6000,CLE,SF,
NE Defense,10.13713209,D,7.6,4900,NE,HOU,
Dan Carpenter,10.12222303,K,7.3,4600,BUF,PHI,
Jeremy Maclin,10.0868905,WR,13.4,6900,KC,SD,
Dustin Hopkins,10.04076037,K,8.8,4500,WAS,CHI,
Ladarius Green,10.01000024,TE,8.0,5000,SD,KC,
Cecil Shorts,9.986672202,WR,9.7,5600,HOU,NE,
Danny Amendola,9.952559196,WR,9.7,7000,NE,HOU,
Connor Barth,9.935286459,K,9.8,4600,TB,NO,
Graham Gano,9.899462965,K,10.8,4900,CAR,ATL,
Sam Bradford,9.860601221,QB,14.0,6300,PHI,BUF,
Benjamin Watson,9.813703539,TE,9.4,5300,NO,TB,
Antonio Andrews,9.805594113,RB,8.5,5300,TEN,NYJ,
Caleb Sturgis,9.75244418,K,7.6,4600,PHI,BUF,
Thomas Rawls,9.680667397,RB,9.9,7400,SEA,BAL,
Antonio Gates,9.621446405,TE,12.2,5700,SD,KC,
OAK Defense,9.484739842,D,6.0,4300,OAK,DEN,
Justin Tucker,9.469462693,K,9.6,4700,BAL,SEA,
NYG Defense,9.394024982,D,9.1,4600,NYG,MIA,
Jonathan Stewart,9.277194219,RB,11.6,7200,CAR,ATL,
Robbie Gould,9.274975574,K,9.4,4800,CHI,WAS,
HOU Defense,9.236617661,D,6.9,4500,HOU,NE,
Darren McFadden,9.220480184,RB,10.6,6700,DAL,GB,
Terrance Williams,9.203618095,WR,7.6,5700,DAL,GB,
Kendall Wright,9.174159391,WR,8.4,5200,TEN,NYJ,
Rueben Randle,9.120101968,WR,8.2,5600,NYG,MIA,
NO Defense,9.101844968,D,5.4,4000,NO,TB,
Marques Colston,8.942321679,WR,6.3,5100,NO,TB,
Jermaine Kearse,8.907494884,WR,6.3,5500,SEA,BAL,
LeGarrette Blount,8.894074059,RB,10.4,6300,NE,HOU,
Cairo Santos,8.875452746,K,10.0,4700,KC,SD,
KC Defense,8.863845271,D,9.9,4800,KC,SD,
Ted Ginn Jr.,8.862287368,WR,9.3,6000,CAR,ATL,
Ronnie Hillman,8.760931143,RB,9.0,6400,DEN,OAK,
NYJ Defense,8.686928502,D,7.2,4800,NYJ,TEN,
Dan Bailey,8.642014299,K,9.0,4500,DAL,GB,
Brian Hartline,8.609760839,WR,6.6,5300,CLE,SF,
TB Defense,8.575809195,D,8.0,4300,TB,NO,
Brandon LaFell,8.514536586,WR,7.1,6400,NE,HOU,
Nick Novak,8.467562967,K,5.2,4500,HOU,NE,
SEA Defense,8.448773405,D,10.7,5300,SEA,BAL,
Brandon Bolden,8.438882307,RB,3.2,5100,NE,HOU,
Kai Forbath,8.426825711,K,5.4,4600,NO,TB,
Kamar Aiken,8.424100895,WR,8.7,6000,BAL,SEA,
Duke Johnson,8.422814131,RB,8.5,5600,CLE,SF,
Jason Witten,8.420297856,TE,7.9,5500,DAL,GB,
Jacob Tamme,8.393376345,TE,7.6,5200,ATL,CAR,
CAR Defense,8.328174625,D,10.9,5000,CAR,ATL,
Jeremy Hill,8.249947804,RB,10.1,6400,CIN,PIT,
Vincent Jackson,8.246171129,WR,10.0,6800,TB,NO,
Cameron Brate,8.233576743,TE,4.6,4900,TB,NO,
Nate Washington,8.227677321,WR,9.2,5200,HOU,NE,
Malcom Floyd,8.131067909,WR,6.5,5400,SD,KC,
Andre Johnson,8.123569345,WR,5.7,5200,IND,JAC,
DeVante Parker,8.079708016,WR,3.7,5900,MIA,NYG,
Marvin Jones,8.051231761,WR,9.2,6200,CIN,PIT,
Phil Dawson,7.965903832,K,6.5,4700,SF,CLE,
Melvin Gordon,7.926103308,RB,6.5,5300,SD,KC,
ATL Defense,7.867469909,D,6.6,4300,ATL,CAR,
Mohamed Sanu,7.834950088,WR,4.7,5000,CIN,PIT,
Travis Coons,7.768642296,K,6.7,4500,CLE,SF,
Josh Lambo,7.748450583,K,7.9,4600,SD,KC,
Dwayne Harris,7.738080813,WR,7.1,5100,NYG,MIA,
BUF Defense,7.690607702,D,6.4,4600,BUF,PHI,
Charles Clay,7.67844386,TE,7.9,5100,BUF,PHI,
Chris Boswell,7.589084604,K,10.5,4700,PIT,CIN,
Mike Nugent,7.567135527,K,8.4,4800,CIN,PIT,
Tyler Lockett,7.556844181,WR,7.5,5600,SEA,BAL,
DeAngelo Williams,7.527156584,RB,12.0,7300,PIT,CIN,
DeSean Jackson,7.482668512,WR,9.0,6700,WAS,CHI,
CIN Defense,7.445430138,D,9.1,4900,CIN,PIT,
STL Defense,7.441289752,D,8.4,4600,STL,DET,
TEN Defense,7.389215616,D,6.8,4200,TEN,NYJ,
Jason Myers,7.301694658,K,8.2,4600,JAC,IND,
James White,7.24193212,RB,5.4,6300,NE,HOU,
Pierre Garcon,7.222960302,WR,8.4,5400,WAS,CHI,
Andre Holmes,7.168702356,WR,3.6,4900,OAK,DEN,
Matt Jones,7.152569399,RB,8.3,5100,WAS,CHI,
Owen Daniels,6.943683107,TE,6.1,5200,DEN,OAK,
IND Defense,6.757445564,D,6.6,4300,IND,JAC,
Jerricho Cotchery,6.656288045,WR,6.1,5300,CAR,ATL,
Isaiah Crowell,6.63428903,RB,6.3,5200,CLE,SF,
Alfred Blue,6.526177428,RB,6.6,5300,HOU,NE,
Robert Woods,6.490679379,WR,6.3,5100,BUF,PHI,
Clay Harbor,6.463358386,TE,1.9,4500,JAC,IND,
Josh Huff,6.353532418,WR,4.6,4800,PHI,BUF,
Markus Wheaton,6.295118922,WR,7.2,6100,PIT,CIN,
Riley Cooper,6.28319324,WR,4.0,4900,PHI,BUF,
Devin Funchess,6.1959487,WR,4.8,5800,CAR,ATL,
Albert Wilson,6.173186366,WR,4.6,4800,KC,SD,
Corey (Philly) Brown,6.17015142,WR,5.4,4700,CAR,ATL,
SD Defense,6.121804068,D,4.2,4100,SD,KC,
Kenny Stills,6.094819681,WR,4.7,5000,MIA,NYG,
Jeremy Butler,6.09313735,WR,4.9,4700,BAL,SEA,
Charles Sims,6.091211894,RB,8.6,4900,TB,NO,
Frank Gore,6.087647795,RB,11.1,6100,IND,JAC,
Torrey Smith,6.080956066,WR,7.0,6100,SF,CLE,
Keshawn Martin,6.033665008,WR,5.2,5100,NE,HOU,
Jamison Crowder,6.026345161,WR,6.4,5300,WAS,CHI,
Gavin Escobar,6.014998193,TE,1.2,4500,DAL,GB,
Dorial Green-Beckham,5.961883129,WR,5.6,5100,TEN,NYJ,
Chris Hogan,5.960081918,WR,5.4,4800,BUF,PHI,
Kenbrell Thompkins,5.936082511,WR,3.6,4600,NYJ,TEN,
Zach Miller,5.874135646,TE,4.6,4900,CHI,WAS,
Bishop Sankey,5.869569542,RB,3.8,4500,TEN,NYJ,
Coby Fleener,5.816084731,TE,6.1,4900,IND,JAC,
Harry Douglas,5.721199413,WR,4.6,5400,TEN,NYJ,
Alfred Morris,5.670676347,RB,5.0,5500,WAS,CHI,
James Hanna,5.621208803,TE,0.4,4500,DAL,GB,
Greg Olsen,5.56993078,TE,13.1,6600,CAR,ATL,
Randy Bullock,5.548416806,K,7.3,4700,NYJ,TEN,
Kenny Britt,5.543584409,WR,5.3,5100,STL,DET,
Josh Bellamy,5.513095704,WR,2.4,4500,CHI,WAS,
Brian Parker,5.385880242,TE,0.2,4500,KC,SD,
BAL Defense,5.302326025,D,7.3,4100,BAL,SEA,
Cole Beasley,5.260664264,WR,6.1,5200,DAL,GB,
WAS Defense,5.248161289,D,8.0,4500,WAS,CHI,
Roddy White,5.236848424,WR,4.6,5500,ATL,CAR,
Brandon Coleman,5.044199909,WR,4.2,4600,NO,TB,
Jordan Cameron,5.019843031,TE,4.6,5000,MIA,NYG,
Blake Bell,5.015996679,TE,1.2,4500,SF,CLE,
Nick Boyle,5.008913326,TE,2.4,4500,BAL,SEA,O
Quinton Patton,4.9343997,WR,3.5,4500,SF,CLE,
JAC Defense,4.931682754,D,5.8,4300,JAC,IND,
Charcandrick West,4.927582821,RB,8.3,5800,KC,SD,
Clive Walford,4.911498813,TE,4.0,4700,OAK,DEN,
DAL Defense,4.87955983,D,5.7,4000,DAL,GB,
SF Defense,4.859453309,D,4.5,4300,SF,CLE,
PIT Defense,4.858200311,D,8.8,4400,PIT,CIN,
Darrius Heyward-Bey,4.841461871,WR,3.7,4700,PIT,CIN,
Virgil Green,4.769993636,TE,2.2,4500,DEN,OAK,
Brent Celek,4.708595715,TE,5.0,5100,PHI,BUF,
PHI Defense,4.693767979,D,9.6,4600,PHI,BUF,
Chris Polk,4.631756552,RB,4.9,5200,HOU,NE,
Jonathan Grimes,4.631756552,RB,4.3,4600,HOU,NE,
Adam Vinatieri,4.54750083,K,7.5,4600,IND,JAC,
Jay Ajayi,4.502492162,RB,4.9,4600,MIA,NYG,
Benny Cunningham,4.470136801,RB,3.1,4500,STL,DET,
Tre Mason,4.470136801,RB,3.1,4600,STL,DET,
Russell Shepard,4.455897979,WR,0.9,4500,TB,NO,
Andrew Franks,4.442717895,K,4.7,4500,MIA,NYG,
Ryan Succop,4.42358402,K,5.7,4500,TEN,NYJ,
Ryan Griffin,4.414416243,TE,6.9,4900,HOU,NE,
Javorius Allen,4.413098591,RB,7.3,7000,BAL,SEA,
Bryan Walters,4.394469725,WR,5.3,4900,JAC,IND,
Darren Sproles,4.386344457,RB,8.1,5100,PHI,BUF,
James Casey,4.316766228,TE,0.0,4500,DEN,OAK,
Miles Austin,4.14233482,WR,3.2,4500,PHI,BUF,
Cody Latimer,4.135748913,WR,1.4,4800,DEN,OAK,
Jake Stoneburner,4.106389393,TE,2.7,4500,MIA,NYG,
Marcel Reece,4.06801469,RB,4.7,4700,OAK,DEN,
Zach Ertz,4.065524126,TE,6.0,5000,PHI,BUF,
Jesse James,4.033327722,TE,4.2,4600,PIT,CIN,
Nelson Agholor,4.019079791,WR,2.5,4700,PHI,BUF,
Marcedes Lewis,4.008492304,TE,1.6,4500,JAC,IND,
Levine Toilolo,3.9750141,TE,0.7,4500,ATL,CAR,
Chris Conley,3.954323941,WR,2.6,4900,KC,SD,
Tevin Coleman,3.94204494,RB,3.8,5100,ATL,CAR,
Adam Humphries,3.910769311,WR,3.1,4800,TB,NO,
Justin Hardy,3.86683935,WR,3.1,4500,ATL,CAR,
Dwayne Allen,3.855382063,TE,2.3,4600,IND,JAC,
Anthony Fasano,3.842759758,TE,3.9,4500,TEN,NYJ,
Tyler Kroft,3.839064798,TE,0.3,4500,CIN,PIT,
C.J. Spiller,3.834032318,RB,5.4,4800,NO,TB,
Chris Givens,3.799160277,WR,4.1,4500,BAL,SEA,
Will Tye,3.775159009,TE,4.4,4900,NYG,MIA,
Dion Sims,3.753415363,TE,1.8,4600,MIA,NYG,
Jack Doyle,3.751955579,TE,1.4,4500,IND,JAC,
Brice Butler,3.658433874,WR,3.1,4900,DAL,GB,
Denard Robinson,3.653896148,RB,2.4,4800,JAC,IND,
Craig Stevens,3.647239239,TE,2.3,4500,TEN,NYJ,
Robert Turbin,3.596363248,RB,2.9,4600,DAL,GB,
Phillip Supernaw,3.590804547,TE,0.1,4500,TEN,NYJ,
John Phillips,3.582348816,TE,1.4,4500,SD,KC,
Quincy Enunwa,3.582059276,WR,3.2,4800,NYJ,TEN,
Jared Cook,3.575561111,TE,4.7,4700,STL,DET,
Bilal Powell,3.530523698,RB,8.3,4800,NYJ,TEN,
Wes Welker,3.505819522,WR,2.9,4900,STL,DET,
Greg Jennings,3.45392796,WR,2.1,4700,MIA,NYG,
Ed Dickson,3.406902844,TE,2.6,4800,CAR,ATL,
Fred Jackson,3.406629095,RB,3.9,4500,SEA,BAL,
Orleans Darkwa,3.393301687,RB,1.7,4500,NYG,MIA,
Kyle Juszczyk,3.36461589,RB,4.1,4500,BAL,SEA,
Khari Lee,3.34393316,TE,0.1,4500,CHI,WAS,
Shaun Draughn,3.335992117,RB,6.0,6500,SF,CLE,
Ryan Grant,3.313649804,WR,3.0,4600,WAS,CHI,
Nick Williams,3.268829071,WR,3.0,4500,ATL,CAR,
Jonas Gray,3.24335262,RB,3.7,4500,MIA,NYG,
Jeff Cumberland,3.240738398,TE,0.9,4500,NYJ,TEN,
Scott Chandler,3.232766673,TE,5.1,5800,NE,HOU,
Jerome Simpson,3.161655626,WR,1.6,4500,SF,CLE,
Kellen Davis,3.097953824,TE,0.7,4500,NYJ,TEN,
Shayne Graham,3.088640312,K,10.0,4700,ATL,CAR,
Andre Williams,3.080333042,RB,2.5,4500,NYG,MIA,
C.J. Fiedorowicz,3.080207859,TE,2.1,4500,HOU,NE,
Mike Tolbert,3.00796966,RB,4.9,4600,CAR,ATL,
Griff Whalen,2.991236959,WR,2.7,4500,IND,JAC,
Devin Smith,2.966070277,WR,2.2,4900,NYJ,TEN,
MIA Defense,2.956244748,D,6.8,4600,MIA,NYG,
Donteea Dye,2.955935026,WR,1.8,4500,TB,NO,
CLE Defense,2.932345734,D,5.3,4300,CLE,SF,
Chris Gragg,2.932311783,TE,1.6,4500,BUF,PHI,
Luke Stocker,2.911427696,TE,0.5,4500,TB,NO,
Keith Mumphery,2.881860659,WR,1.7,4500,HOU,NE,
Bennie Fowler,2.860338715,WR,2.0,4600,DEN,OAK,
Andre Caldwell,2.860338715,WR,2.0,4500,DEN,OAK,
Mychal Rivera,2.803300635,TE,2.7,4600,OAK,DEN,
Javontee Herndon,2.790734741,WR,2.5,4500,SD,KC,
Garrett Graham,2.716979429,TE,1.4,4500,HOU,NE,
Luke Willson,2.696025048,TE,2.9,4800,SEA,BAL,
Devin Street,2.60545921,WR,1.4,4900,DAL,GB,
Jordan Norwood,2.604793733,WR,2.1,4500,DEN,OAK,
David Cobb,2.601933721,RB,1.5,4500,TEN,NYJ,
Roy Helu,2.590393702,RB,2.3,4500,OAK,DEN,
Jamize Olawale,2.590393702,RB,2.8,4500,OAK,DEN,
Trey Burton,2.572281288,TE,0.5,4600,PHI,BUF,
Terron Ward,2.550800283,RB,2.4,4500,ATL,CAR,
Patrick DiMarco,2.550800283,RB,2.2,4500,ATL,CAR,
Rashad Ross,2.497698445,WR,1.8,4800,WAS,CHI,
Lee Smith,2.43326099,TE,1.5,4500,OAK,DEN,
Henry Hynoski,2.366036255,RB,0.0,4500,NYG,MIA,
Anthony Dixon,2.268887342,RB,1.3,4500,BUF,PHI,
Matthew Mulligan,2.267254698,TE,0.1,4500,BUF,PHI,
Storm Johnson,2.247868439,RB,0.0,4500,JAC,IND,
Michael Hoomanawanui,2.148162918,TE,2.0,4500,NO,TB,
Trey Williams,2.109463561,RB,0.0,4500,NE,HOU,
Donald Brown,2.106950717,RB,1.3,4500,SD,KC,
Rod Streater,2.09358583,WR,1.3,4500,OAK,DEN,
Jeremy Ross,2.09358583,WR,1.1,4500,OAK,DEN,
Foswhitt Whittaker,2.083400143,RB,1.0,4500,CAR,ATL,
Tim Hightower,2.064669662,RB,1.2,4500,NO,TB,
Kevin Smith,2.028125071,WR,0.9,4500,SEA,BAL,
CHI Defense,2.014323765,D,5.7,4500,CHI,WAS,
Josh Hill,2.013456422,TE,2.3,4700,NO,TB,
Kris Durham,1.984479485,WR,0.0,4500,OAK,DEN,
Trindon Holliday,1.984479485,WR,0.0,4500,OAK,DEN,
Dwayne Bowe,1.898950119,WR,0.9,4500,CLE,SF,
Cameron Artis-Payne,1.81454999,RB,0.8,4500,CAR,ATL,
Ka'Deem Carey,1.763676058,RB,2.5,4600,CHI,WAS,
Bruce Ellington,1.761333547,WR,1.0,4500,SF,CLE,
Kenjon Barner,1.748762057,RB,1.8,4600,PHI,BUF,
Damien Williams,1.713735103,RB,1.6,4600,MIA,NYG,
Marqise Lee,1.673904805,WR,2.1,4600,JAC,IND,
Jason Avant,1.671771459,WR,1.2,4500,KC,SD,
Junior Hemingway,1.562665114,WR,0.0,4500,KC,SD,
Frankie Hammond,1.562665114,WR,0.0,4500,KC,SD,
Chandler Worthy,1.550690407,WR,1.0,4500,HOU,NE,
Christine Michael,1.52480903,RB,1.2,4800,WAS,CHI,
Seyi Ajirotutu,1.501434007,WR,0.1,4500,PHI,BUF,
Marc Mariani,1.501258737,WR,1.2,4700,CHI,WAS,
Chris Harper,1.484041167,WR,-0.7,4500,NE,HOU,
Matthew Slater,1.484041167,WR,0.0,4500,NE,HOU,
John Conner,1.472166116,RB,0.0,4500,BUF,PHI,
Bradley Marquez,1.466295255,WR,0.9,4500,STL,DET,
Brian Quick,1.463056948,WR,1.2,4500,STL,DET,
Justice Cunningham,1.445884249,TE,0.0,4500,STL,DET,
Eric Weems,1.43821741,WR,0.1,4500,ATL,CAR,
Terrance West,1.339305717,RB,2.2,4600,BAL,SEA,
Tyrell Williams,1.332988036,WR,0.0,4500,SD,KC,
Jalen Saunders,1.31958251,WR,0.0,4500,CHI,WAS,
Cory Harkey,1.309169802,TE,0.3,4500,STL,DET,
Kendall Gaskins,1.307553946,RB,1.1,4700,SF,CLE,
Bruce Miller,1.307553946,RB,1.4,4500,SF,CLE,
Vincent Brown,1.274686257,WR,0.0,4500,IND,JAC,
Arthur Williams,1.218213369,WR,0.0,4500,NYJ,TEN,
Knile Davis,1.213654684,RB,1.5,4500,KC,SD,
Sammie Coates,1.210186917,WR,0.3,4500,PIT,CIN,
Jim Dray,1.189290402,TE,0.6,4500,CLE,SF,
Rob Housler,1.189290402,TE,0.2,4500,CHI,WAS,O
E.J. Bibbs,1.189290402,TE,0.4,4500,CLE,SF,
Lucky Whitehead,1.182103074,WR,1.0,4500,DAL,GB,
Marcus Easley,1.171560019,WR,1.2,4500,BUF,PHI,
Erik Lorig,1.150748485,RB,0.0,4500,NO,TB,
Marcus Murphy,1.150748485,RB,0.3,4500,NO,TB,
Rico Richardson,1.147820823,WR,0.0,4500,TEN,NYJ,
Denarius Moore,1.134234658,WR,-0.3,4500,BUF,PHI,
Dri Archer,1.126481665,RB,0.0,4500,PIT,CIN,
Jordan Todman,1.126481665,RB,0.2,4500,PIT,CIN,
Isaiah Pead,1.126481665,RB,-0.8,4500,PIT,CIN,
Solomon Patton,1.094997653,WR,0.0,4500,DEN,OAK,
Joseph Morgan,1.081133842,WR,0.0,4500,BAL,SEA,
Antone Smith,1.058676996,RB,0.2,4500,CHI,WAS,
Darrel Young,1.038119792,RB,0.3,4500,WAS,CHI,
Bobby Rainey,1.008683944,RB,0.4,4500,TB,NO,
Rod Smith,0.991270384,RB,0.2,4500,DAL,GB,
Tommy Bohanon,0.801919254,RB,0.6,4500,NYJ,TEN,
Geremy Davis,0.797897776,WR,0.3,4500,NYG,MIA,
Kevin Ogletree,0.797897776,WR,0.0,4500,NYG,MIA,
Hakeem Nicks,0.797897776,WR,1.1,4500,NYG,MIA,
Derrick Coleman,0.770824945,RB,0.1,4500,SEA,BAL,
Rex Burkhead,0.760969599,RB,0.9,4500,CIN,PIT,
Jeremy Stewart,0.71092226,RB,0.0,4500,DEN,OAK,
Juwan Thompson,0.71092226,RB,0.7,4600,DEN,OAK,
Brandon Tate,0.669574255,WR,1.1,4700,CIN,PIT,
Travaris Cadet,0.663272721,RB,0.8,4500,SF,CLE,
Raheem Mostert,0.634306655,RB,0.0,4500,BAL,SEA,
Greg Little,0.632248894,WR,0.0,4500,CIN,PIT,
Dan Herron,0.532227129,RB,1.9,4500,IND,JAC,
Stevan Ridley,0.513241858,RB,0.1,4500,NYJ,TEN,
Ace Sanders,0.14369199,WR,0.0,4500,JAC,IND,
