Total_RK,TEAM,Total_YDS,Total_YDS/G,Total_PASS,Total_P YDS/G,Total_RUSH,Total_R YDS/G,Total_PTS,Total_PTS/G,SEASON,Passing_RK,Passing_ATT,Passing_COMP,Passing_PCT,Passing_YDS,Passing_YDS/A,Passing_LONG,Passing_TD,Passing_INT,Passing_SACK,Passing_YDSL,Passing_RATE,Passing_YDS/G,Rushing_RK,Rushing_ATT,Rushing_YDS,Rushing_YDS/A,Rushing_LONG,Rushing_TD,Rushing_YDS/G,Rushing_FUM,Rushing_FUML,Receiving_RK,Receiving_REC,Receiving_YDS,Receiving_AVG,Receiving_LONG,Receiving_TD,Receiving_YDS/G,Receiving_FUM,Receiving_FUML,Returning_RK,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_ATT,Returning_YDS,Returning_AVG,Returning_LNG,Returning_TD,Returning_FC
31,JAX,4701,293.8,3441,215.1,1260,78.8,247,15.4,2013,22,592,349,59,3441,6.3,67,16,21,50,310,71.8,215,31,378,1260,3.3,48,7,78.8,5,3,21,349,3751,10.7,67,16,234.4,6,3,9,41,1060,25.9,59,0,30,142,4.7,17,0,21
32,TAM,4432,277,2820,176.3,1612,100.8,288,18,2013,32,514,291,56.6,2820,6.2,85,22,12,47,361,79.6,176,22,420,1612,3.8,80,6,100.8,6,2,32,291,3181,10.9,85,22,198.8,1,0,22,34,811,23.9,44,0,24,268,11.2,52,0,20
1,NOR,6582,411.4,4764,297.8,1818,113.6,401,25.1,2014,3,659,456,69.2,4764,7.5,69,33,17,30,188,97,298,13,406,1818,4.5,67,16,113.6,6,3,3,456,4952,10.9,69,33,309.5,8,6,30,21,543,25.9,99,0,19,134,7.1,32,0,26
2,PIT,6577,411.1,4825,301.6,1752,109.5,436,27.3,2014,2,612,411,67.2,4825,8.2,94,33,10,33,172,103.2,302,16,423,1752,4.1,81,10,109.5,7,3,2,411,4997,12.2,94,33,312.3,5,4,25,35,758,21.7,41,0,32,321,10,71,1,16
3,IND,6506,406.6,4894,305.9,1612,100.8,458,28.6,2014,1,661,410,62,4894,7.7,80,42,16,29,168,96.8,306,22,415,1612,3.9,49,9,100.8,10,5,1,410,5062,12.3,80,42,316.4,6,3,12,38,1065,28,76,0,45,312,6.9,22,0,25
4,DEN,6446,402.9,4661,291.3,1785,111.6,482,30.1,2014,4,607,399,65.7,4661,7.9,86,40,15,17,118,101.3,291,15,443,1785,4,47,15,111.6,6,2,4,399,4779,12,86,40,298.7,4,1,20,32,802,25.1,77,0,41,296,7.2,22,0,28
5,PHI,6348,396.8,4356,272.3,1992,124.5,474,29.6,2014,6,621,384,61.8,4356,7.4,72,27,21,32,225,84.8,272,9,474,1992,4.2,53,16,124.5,10,6,6,384,4581,11.9,72,27,286.3,5,5,16,32,874,27.3,107,2,41,531,13,82,2,21
6,GNB,6178,386.1,4261,266.3,1917,119.8,486,30.4,2014,8,536,349,65.1,4261,8.3,80,38,6,30,186,109.9,266,11,435,1917,4.4,44,14,119.8,7,3,9,349,4447,12.7,80,38,277.9,1,1,29,29,555,19.1,41,0,29,333,11.5,75,2,12
7,DAL,6138,383.6,3784,236.5,2354,147.1,467,29.2,2014,16,476,328,68.9,3784,8.4,68,37,11,30,224,110.9,237,2,508,2354,4.6,65,16,147.1,9,6,15,328,4008,12.2,68,37,250.5,4,4,22,33,790,23.9,42,0,30,275,9.2,38,0,13
8,ATL,6051,378.2,4553,284.6,1498,93.6,381,23.8,2014,5,632,418,66.1,4553,7.5,79,28,15,31,205,93.4,285,24,372,1498,4,55,11,93.6,4,2,5,418,4758,11.4,79,28,297.4,7,4,5,50,1174,23.5,66,0,18,239,13.3,68,1,11
9,SEA,6012,375.8,3250,203.1,2762,172.6,394,24.6,2014,27,454,287,63.2,3250,7.7,80,20,7,42,242,95.1,203,1,525,2762,5.3,79,20,172.6,9,2,26,287,3492,12.2,80,20,218.3,3,2,17,39,820,21,47,0,36,252,7,38,0,28
10,NYG,5875,367.2,4272,267,1603,100.2,380,23.8,2014,7,607,383,63.1,4272,7.4,80,30,14,30,198,92.2,267,23,449,1603,3.6,50,13,100.2,1,0,7,383,4470,11.7,80,30,279.4,6,6,15,44,1025,23.3,45,0,29,224,7.7,25,0,27
11,NWE,5848,365.5,4121,257.6,1727,107.9,468,29.3,2014,9,609,392,64.4,4121,7,69,34,9,26,170,97.5,258,18,438,1727,3.9,43,13,107.9,1,0,11,392,4291,10.9,69,34,268.2,4,1,26,31,693,22.4,81,0,41,431,10.5,84,1,11
12,BAL,5838,364.9,3819,238.7,2019,126.2,409,25.6,2014,13,554,344,62.1,3819,7.2,80,27,12,19,167,91,239,8,448,2019,4.5,52,16,126.2,6,2,17,344,3986,11.6,80,27,249.1,3,3,11,38,1077,28.3,108,1,32,292,9.1,45,0,23
13,WAS,5738,358.6,4047,252.9,1691,105.7,301,18.8,2014,11,547,364,66.5,4047,8.2,81,18,18,58,414,88.8,253,19,401,1691,4.2,30,15,105.7,9,2,8,364,4461,12.3,81,18,278.8,6,5,23,36,783,21.8,45,0,29,208,7.2,37,0,27
14,MIA,5601,350.1,3729,233.1,1872,117,388,24.3,2014,17,595,394,66.2,3729,6.8,50,27,12,46,337,92.5,233,12,399,1872,4.7,97,12,117,8,4,13,394,4066,10.3,50,27,254.1,7,2,10,41,1082,26.4,74,0,25,204,8.2,32,0,19
15,CIN,5568,348,3421,213.8,2147,134.2,365,22.8,2014,21,503,323,64.2,3421,7.1,81,20,17,23,130,84.2,214,6,492,2147,4.4,89,19,134.2,8,3,25,323,3551,11,81,20,221.9,7,3,4,45,1241,27.6,97,0,40,436,10.9,49,0,15
16,CAR,5547,346.7,3511,219.4,2036,127.3,339,21.2,2014,19,545,327,60,3511,7,51,23,12,42,317,86.2,219,7,473,2036,4.3,69,10,127.3,9,4,19,327,3828,11.7,51,23,239.3,3,1,19,37,805,21.8,49,0,30,239,8,79,1,26
17,HOU,5513,344.6,3352,209.5,2161,135.1,372,23.3,2014,24,485,295,60.8,3352,7.1,76,22,13,26,108,86.4,210,5,551,2161,3.9,51,12,135.1,6,3,27,295,3460,11.7,76,22,216.3,6,4,31,20,422,21.1,41,0,34,208,6.1,21,0,28
18,SDG,5465,341.6,4098,256.1,1367,85.4,348,21.8,2014,10,574,380,66.2,4098,7.5,59,31,18,37,198,93.4,256,30,398,1367,3.4,52,6,85.4,5,0,10,380,4296,11.3,59,31,268.5,3,2,28,26,577,22.2,35,0,23,203,8.8,58,0,18
19,DET,5452,340.8,4030,251.9,1422,88.9,321,20.1,2014,12,604,365,60.4,4030,7.1,73,22,12,45,254,85.9,252,28,396,1422,3.6,57,11,88.9,7,2,12,365,4284,11.7,73,22,267.8,3,1,27,25,612,24.5,41,0,32,284,8.9,28,0,37
20,SFO,5239,327.4,3063,191.4,2176,136,306,19.1,2014,30,487,292,60,3063,7,80,20,10,52,344,86.3,191,4,470,2176,4.6,90,10,136,10,7,31,292,3407,11.7,80,20,212.9,2,1,8,45,1104,24.5,57,0,35,227,6.5,23,0,13
21,CHI,5233,327.1,3792,237,1441,90.1,319,19.9,2014,15,609,396,65,3792,6.6,74,30,19,41,243,87.3,237,27,355,1441,4.1,32,8,90.1,6,1,14,396,4035,10.2,74,30,252.2,3,3,3,55,1290,23.5,101,1,21,109,5.2,22,0,13
22,NYJ,5226,326.6,2946,184.1,2280,142.5,283,17.7,2014,32,498,287,57.6,2946,6.4,74,16,15,47,260,75.1,184,3,507,2280,4.5,71,11,142.5,10,5,32,287,3206,11.2,74,16,200.4,3,0,2,58,1342,23.1,87,0,43,273,6.3,41,0,20
23,CLE,5193,324.6,3465,216.6,1728,108,299,18.7,2014,20,502,274,54.6,3465,7.3,81,12,16,31,213,72.8,217,17,477,1728,3.6,36,17,108,7,4,22,274,3678,13.4,81,12,229.9,0,0,21,37,801,21.6,39,0,27,181,6.7,37,0,25
24,ARI,5116,319.8,3808,238,1308,81.8,310,19.4,2014,14,568,320,56.3,3808,7,81,21,12,28,182,81.8,238,31,397,1308,3.3,22,6,81.8,4,2,16,320,3990,12.5,81,21,249.4,5,2,32,22,417,19,43,0,26,277,10.7,71,1,24
25,KAN,5100,318.8,3182,198.9,1918,119.9,353,22.1,2014,29,493,320,64.9,3182,7,70,18,6,49,246,92.2,199,10,420,1918,4.6,63,18,119.9,9,4,30,320,3428,10.7,70,18,214.3,9,5,1,51,1430,28,99,1,50,605,12.1,81,1,4
26,BUF,5096,318.5,3614,225.9,1482,92.6,343,21.4,2014,18,579,363,62.7,3614,6.7,84,23,13,39,242,86,226,25,402,1482,3.7,53,7,92.6,5,2,18,363,3856,10.6,84,23,241,8,4,24,33,770,23.3,102,1,37,354,9.6,75,1,18
27,MIN,5048,315.5,3244,202.8,1804,112.8,325,20.3,2014,28,517,322,62.3,3244,6.9,87,17,18,51,322,79.2,203,14,413,1804,4.4,67,12,112.8,3,1,24,322,3566,11.1,87,17,222.9,3,0,6,54,1173,21.7,51,0,27,297,11,35,0,26
28,STL,5035,314.7,3400,212.5,1635,102.2,324,20.3,2014,23,515,327,63.5,3400,7.2,63,20,16,47,295,84.9,213,20,395,1635,4.1,89,11,102.2,7,3,21,327,3695,11.3,63,20,230.9,1,1,9,45,1099,24.4,75,0,37,482,13,90,2,24
29,TEN,4859,303.7,3412,213.3,1447,90.4,254,15.9,2014,22,513,299,58.3,3412,7.3,80,20,16,50,326,81,213,26,356,1447,4.1,52,6,90.4,5,3,20,299,3738,12.5,80,20,233.6,4,2,7,48,1121,23.4,52,0,30,207,6.9,48,0,18
30,TAM,4672,292,3297,206.1,1375,85.9,277,17.3,2014,25,531,301,56.7,3297,6.8,56,21,20,52,326,75.2,206,29,353,1375,3.9,63,7,85.9,5,3,23,301,3623,12,56,21,226.4,5,4,18,36,819,22.8,45,0,23,249,10.8,53,0,17
31,JAX,4634,289.6,3001,187.6,1633,102.1,249,15.6,2014,31,557,325,58.3,3001,6.2,63,15,18,71,450,72,188,21,360,1633,4.5,62,9,102.1,6,4,29,325,3451,10.6,63,15,215.7,2,2,13,43,1033,24,40,0,37,264,7.1,23,0,15
32,OAK,4515,282.2,3275,204.7,1240,77.5,253,15.8,2014,26,629,365,58,3275,5.5,77,22,16,28,181,74.4,205,32,337,1240,3.7,90,4,77.5,10,4,28,365,3456,9.5,77,22,216,7,3,14,47,1027,21.9,42,0,37,261,7.1,27,0,17
1,ARI,4510,410,3243,294.8,1267,115.2,355,32.3,2015,4,382,242,63.4,3243,8.8,64,27,9,17,104,105.1,295,12,309,1267,4.1,63,11,115.2,6,3,5,242,3347,13.8,64,27,304.3,4,3,9,25,653,26.1,108,1,31,242,7.8,38,0,14
2,NWE,4425,402.3,3466,315.1,959,87.2,347,31.5,2015,1,451,294,65.2,3466,8,76,28,4,25,134,106.7,315,29,252,959,3.8,38,11,87.2,2,0,1,294,3600,12.2,76,28,327.3,3,2,32,14,212,15.1,29,0,32,341,10.7,82,0,10
3,NOR,4413,401.2,3350,304.5,1063,96.6,261,23.7,2015,3,453,314,69.3,3350,7.8,80,20,11,26,185,97,305,21,273,1063,3.9,70,11,96.6,1,0,3,314,3535,11.3,80,20,321.4,5,4,22,21,445,21.2,35,0,25,248,9.9,74,1,7
4,PIT,4387,398.8,3068,278.9,1319,119.9,266,24.2,2015,7,387,249,64.3,3068,8.3,88,16,14,25,159,89.2,279,9,272,1319,4.8,55,11,119.9,3,0,6,249,3227,13,88,16,293.4,1,1,13,23,577,25.1,38,0,18,126,7,29,0,14
5,ATL,4321,392.8,3080,280,1241,112.8,260,23.6,2015,6,434,286,65.9,3080,7.4,55,16,12,20,132,88.6,280,15,297,1241,4.2,46,11,112.8,6,4,7,286,3212,11.2,55,16,292,2,1,24,17,432,25.4,50,0,19,221,11.6,41,0,16
6,SDG,4295,390.5,3396,308.7,899,81.7,244,22.2,2015,2,469,322,68.7,3396,7.6,70,24,8,26,178,101,309,31,262,899,3.4,27,2,81.7,5,3,2,322,3574,11.1,70,24,324.9,2,1,21,22,451,20.5,30,0,11,34,3.1,18,0,18
7,CIN,4138,376.2,2862,260.2,1276,116,297,27,2015,12,363,239,65.8,2862,8.2,80,23,6,19,112,105.3,260,10,322,1276,4,30,12,116,6,3,14,239,2974,12.4,80,23,270.4,2,1,17,25,520,20.8,58,0,34,325,9.6,35,0,9
8,SEA,4112,373.8,2526,229.6,1586,144.2,267,24.3,2015,23,325,220,67.7,2526,8.4,80,18,7,37,197,102.9,230,2,334,1586,4.7,69,7,144.2,3,0,22,220,2723,12.4,80,18,247.5,2,1,10,25,624,25,105,1,30,260,8.7,64,1,15
9,DET,4100,341.7,3180,265,920,76.7,253,21.1,2015,5,485,311,64.1,3180,6.9,57,23,13,31,185,89.1,265,30,262,920,3.5,36,4,76.7,5,2,4,311,3365,10.8,57,23,280.4,3,3,1,32,932,29.1,104,0,26,177,6.8,28,0,16
10,GNB,4097,341.4,2757,229.8,1340,111.7,289,24.1,2015,16,426,260,61,2757,6.9,65,26,5,29,200,97.3,230,8,312,1340,4.3,65,5,111.7,5,2,15,260,2957,11.4,65,26,246.4,4,1,7,26,668,25.7,70,0,22,115,5.2,16,0,18
11,TAM,4051,368.3,2497,227,1554,141.3,248,22.5,2015,24,350,203,58,2497,7.6,68,16,10,22,153,85.3,227,3,325,1554,4.8,84,7,141.3,6,3,26,203,2650,13.1,68,16,240.9,2,2,29,14,361,25.8,38,0,24,247,10.3,58,0,6
12,OAK,3991,362.8,2934,266.7,1057,96.1,264,24,2015,8,410,263,64.1,2934,7.4,68,26,7,14,103,100.4,267,23,258,1057,4.1,54,5,96.1,4,2,9,263,3037,11.5,68,26,276.1,5,1,4,33,736,22.3,41,0,32,216,6.8,25,0,5
13,BAL,3979,361.7,2896,263.3,1083,98.5,259,23.5,2015,10,448,287,64.1,2896,6.7,50,16,14,16,124,82.4,263,18,271,1083,4,44,7,98.5,4,0,11,287,3020,10.5,50,16,274.5,3,1,20,19,487,25.6,50,0,23,316,13.7,82,1,11
14,PHI,3977,361.5,2717,247,1260,114.5,243,22.1,2015,17,426,273,64.1,2717,6.8,62,15,14,27,196,82,247,13,314,1260,4,63,10,114.5,6,4,17,273,2913,10.7,62,15,264.8,3,2,30,12,267,22.3,40,0,25,272,10.9,89,1,15
15,HOU,3937,357.9,2862,260.2,1075,97.7,232,21.1,2015,12,457,262,57.3,2862,6.6,61,22,9,22,136,85,260,19,314,1075,3.4,21,5,97.7,4,1,13,262,2998,11.4,61,22,272.5,3,2,28,16,390,24.4,41,0,38,279,7.3,17,0,11
16,NYJ,3923,356.6,2666,242.4,1257,114.3,272,24.7,2015,21,401,237,59.1,2666,6.8,58,22,12,14,75,85.6,242,14,320,1257,3.9,54,10,114.3,5,1,21,237,2741,11.6,58,22,249.2,4,3,15,26,553,21.3,54,0,38,355,9.3,58,0,14
17,NYG,3901,354.6,2918,265.3,983,89.4,287,26.1,2015,9,435,274,63,2918,6.9,87,23,9,18,103,92.5,265,28,265,983,3.7,39,3,89.4,1,0,10,274,3021,11,87,23,274.6,4,2,8,25,664,26.6,100,1,25,187,7.5,29,0,5
18,KAN,3864,351.3,2497,227,1367,124.3,287,26.1,2015,24,356,228,64,2497,7.5,80,12,3,35,188,94.6,227,6,295,1367,4.6,52,15,124.3,3,2,24,228,2685,11.8,80,12,244.1,2,2,12,25,611,24.4,54,0,31,240,7.7,37,0,7
19,CAR,3836,348.7,2308,209.8,1528,138.9,332,30.2,2015,29,332,190,57.2,2308,7.4,59,20,9,21,158,89.5,210,4,379,1528,4,43,12,138.9,6,3,29,190,2466,13,59,20,224.2,0,0,31,13,227,17.5,33,0,25,233,9.3,37,0,15
20,JAX,3821,347.4,2765,251.4,1056,96,236,21.5,2015,15,436,248,56.9,2765,6.8,59,22,13,34,187,82.1,251,24,255,1056,4.1,45,1,96,3,2,16,248,2952,11.9,59,22,268.4,2,1,23,18,436,24.2,42,0,20,199,10,63,0,13
21,BUF,3818,347.1,2314,210.4,1504,136.7,266,24.2,2015,28,335,218,65.1,2314,7.5,63,17,7,30,211,95.9,210,5,327,1504,4.6,48,12,136.7,7,1,27,218,2525,11.6,63,17,229.5,4,2,16,29,544,18.8,31,0,22,150,6.8,27,0,16
22,CHI,3811,346.5,2593,235.7,1218,110.7,231,21,2015,22,374,234,62.6,2593,7.2,87,14,7,19,101,88.9,236,16,321,1218,3.8,27,9,110.7,5,2,23,234,2694,11.5,87,14,244.9,3,0,19,20,493,24.7,38,0,21,140,6.7,20,0,14
23,DEN,3807,346.1,2684,244,1123,102.1,252,22.9,2015,19,415,250,60.2,2684,6.9,75,13,19,26,162,72.2,244,17,273,1123,4.1,72,9,102.1,1,0,19,250,2846,11.4,75,13,258.7,1,1,26,19,413,21.7,41,0,19,188,9.9,83,1,15
24,IND,3795,345,2783,253,1012,92,249,22.6,2015,14,443,259,58.5,2783,6.6,87,22,14,23,121,81.5,253,26,281,1012,3.6,25,4,92,6,5,18,259,2904,11.2,87,22,264,1,0,3,30,749,25,50,0,26,141,5.4,22,0,24
25,WAS,3735,339.5,2677,243.4,1058,96.2,241,21.9,2015,20,393,268,68.2,2677,7.1,78,16,10,17,110,91.4,243,22,281,1058,3.8,42,6,96.2,10,4,20,268,2787,10.4,78,16,253.4,5,2,2,29,761,26.2,101,2,22,125,5.7,16,0,9
26,CLE,3696,336,2877,261.5,819,74.5,213,19.4,2015,11,430,269,62.6,2877,7.3,61,18,6,38,242,92.6,262,32,244,819,3.4,32,2,74.5,3,2,8,269,3119,11.6,61,18,283.5,3,3,14,22,574,26.1,40,0,23,285,12.4,78,1,6
27,MIA,3695,335.9,2686,244.2,1009,91.7,225,20.5,2015,18,418,260,62.2,2686,7.2,54,20,11,33,328,88.9,244,27,218,1009,4.6,85,6,91.7,3,1,12,260,3014,11.6,54,20,274,0,0,6,33,715,21.7,50,0,30,305,10.2,69,1,9
28,MIN,3665,333.2,2055,186.8,1610,146.4,231,21,2015,31,326,210,64.4,2055,7,52,8,7,31,240,84.3,187,1,331,1610,4.9,80,12,146.4,6,3,31,210,2295,10.9,52,8,208.6,3,0,5,27,725,26.9,93,1,27,265,9.8,65,1,9
29,DAL,3645,331.4,2377,216.1,1268,115.3,204,18.5,2015,27,358,241,67.3,2377,7.1,67,12,14,24,147,82.4,216,11,302,1268,4.2,45,6,115.3,2,0,28,241,2524,10.5,67,12,229.5,3,3,27,16,396,24.8,79,0,20,97,4.9,22,0,17
30,TEN,3459,314.5,2434,221.3,1025,93.2,203,18.5,2015,26,370,235,63.5,2434,7.2,61,17,11,35,231,88,221,25,264,1025,3.9,44,6,93.2,7,3,25,235,2665,11.3,61,17,242.3,2,2,18,23,508,22.1,34,0,26,229,8.8,37,0,16
31,STL,3344,304,1990,180.9,1354,123.1,186,16.9,2015,32,338,194,57.4,1990,6.2,68,8,9,15,103,72.5,181,7,289,1354,4.7,71,10,123.1,9,5,32,194,2093,10.8,68,8,190.3,2,2,24,19,432,22.7,39,0,27,212,7.9,75,1,9
32,SFO,3250,295.5,2182,198.4,1068,97.1,152,13.8,2015,30,339,206,60.8,2182,7,76,10,8,32,200,82,198,20,277,1068,3.9,30,4,97.1,6,1,30,206,2382,11.6,76,10,216.5,3,0,11,27,612,22.7,34,0,19,150,7.9,37,0,15
